"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-26T16:01:42.884Z","run","s0501","10932","8","12815","1883","8","s0501","1","","","","","","","","","","","","","",""
"2","2026-05-26T16:01:44.782Z","run","s0501","12815","8","13811","996","8","s0501","1","","","","","","","","","","","","","",""
"3","2026-05-26T16:01:45.779Z","run","s0504","13811","2","15458","1647","2","s0504","1","","","","","","","","","","","","","",""
"4","2026-05-26T16:01:47.432Z","run","s0503","15458","1","16739","1281","1","s0503","1","","","","","","","","","","","","","",""
"5","2026-05-26T16:01:48.707Z","run","s0506","16739","4","18103","1364","4","s0506","1","","","","","","","","","","","","","",""
"6","2026-05-26T16:01:50.071Z","run","s0505","18103","3","20084","1981","3","s0505","1","","","","","","","","","","","","","",""
"7","2026-05-26T16:01:52.052Z","run","s0506","20084","4","21581","1497","4","s0506","1","","","","","","","","","","","","","",""
"8","2026-05-26T16:01:53.549Z","run","s0503","21581","1","22896","1315","1","s0503","1","","","","","","","","","","","","","",""
"9","2026-05-26T16:01:54.864Z","run","s0502","22896","9","24809","1913","9","s0502","1","","","","","","","","","","","","","",""
"10","2026-05-26T16:01:56.777Z","run","s0503","24809","1","26245","1436","1","s0503","1","","","","","","","","","","","","","",""
"11","2026-05-26T16:01:58.208Z","run","s0502","26245","9","27721","1476","9","s0502","1","","","","","","","","","","","","","",""
"12","2026-05-26T16:01:59.689Z","run","s0503","27721","1","28821","1100","1","s0503","1","","","","","","","","","","","","","",""
"13","2026-05-26T16:02:00.787Z","run","s0506","28821","4","30347","1526","4","s0506","1","","","","","","","","","","","","","",""
"14","2026-05-26T16:02:02.302Z","run","s0509","30347","7","31942","1595","7","s0509","1","","","","","","","","","","","","","",""
"15","2026-05-26T16:02:03.898Z","run","s0505","31942","3","33561","1619","3","s0505","1","","","","","","","","","","","","","",""
"16","2026-05-26T16:02:05.529Z","run","s0501","33561","8","35042","1481","8","s0501","1","","","","","","","","","","","","","",""
"17","2026-05-26T16:02:07.011Z","run","s0501","35042","8","35729","687","8","s0501","1","","","","","","","","","","","","","",""
"18","2026-05-26T16:02:07.692Z","run","s0509","35729","7","37269","1540","7","s0509","1","","","","","","","","","","","","","",""
"19","2026-05-26T16:02:09.224Z","run","s0502","37269","9","38716","1447","9","s0502","1","","","","","","","","","","","","","",""
"20","2026-05-26T16:02:10.671Z","run","s0505","38716","3","40368","1652","3","s0505","1","","","","","","","","","","","","","",""
"21","2026-05-26T16:02:12.335Z","run","s0507","40368","5","41650","1282","5","s0507","1","","","","","","","","","","","","","",""
"22","2026-05-26T16:02:13.616Z","run","s0505","41650","3","43134","1484","3","s0505","1","","","","","","","","","","","","","",""
"23","2026-05-26T16:02:15.097Z","run","s0502","43134","9","44589","1455","9","s0502","1","","","","","","","","","","","","","",""
"24","2026-05-26T16:02:16.544Z","run","s0501","44589","8","45960","1371","8","s0501","1","","","","","","","","","","","","","",""
"25","2026-05-26T16:02:17.925Z","run","s0508","45960","6","47260","1300","6","s0508","1","","","","","","","","","","","","","",""
"26","2026-05-26T16:02:19.223Z","run","s0508","47260","6","47974","714","6","s0508","1","","","","","","","","","","","","","",""
"27","2026-05-26T16:02:19.939Z","run","s0503","47974","1","49269","1295","1","s0503","1","","","","","","","","","","","","","",""
"28","2026-05-26T16:02:21.237Z","run","s0509","49269","7","50666","1397","7","s0509","1","","","","","","","","","","","","","",""
"29","2026-05-26T16:02:22.634Z","run","s0509","50666","7","51282","616","7","s0509","1","","","","","","","","","","","","","",""
"30","2026-05-26T16:02:23.250Z","run","s0509","51282","7","51964","682","7","s0509","1","","","","","","","","","","","","","",""
