"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-25T06:49:09.793Z","run","s0101","7034","6","8885","1851","6","s0101","1","","","","","","","","","","","","","",""
"2","2026-05-25T06:49:11.659Z","run","s0101","8885","6","9685","800","6","s0101","1","","","","","","","","","","","","","",""
"3","2026-05-25T06:49:12.459Z","run","s0104","9685","9","11519","1834","9","s0104","1","","","","","","","","","","","","","",""
"4","2026-05-25T06:49:14.290Z","run","s0103","11519","8","13288","1769","8","s0103","1","","","","","","","","","","","","","",""
"5","2026-05-25T06:49:16.060Z","run","s0106","13288","2","14621","1333","2","s0106","1","","","","","","","","","","","","","",""
"6","2026-05-25T06:49:17.393Z","run","s0105","14621","1","16123","1502","1","s0105","1","","","","","","","","","","","","","",""
"7","2026-05-25T06:49:18.895Z","run","s0106","16123","2","17204","1081","2","s0106","1","","","","","","","","","","","","","",""
"8","2026-05-25T06:49:19.976Z","run","s0103","17204","8","18482","1278","8","s0103","1","","","","","","","","","","","","","",""
"9","2026-05-25T06:49:21.244Z","run","s0102","18482","7","19870","1388","7","s0102","1","","","","","","","","","","","","","",""
"10","2026-05-25T06:49:22.642Z","run","s0103","19870","8","21088","1218","8","s0103","1","","","","","","","","","","","","","",""
"11","2026-05-25T06:49:23.861Z","run","s0102","21088","7","22216","1128","7","s0102","1","","","","","","","","","","","","","",""
"12","2026-05-25T06:49:24.978Z","run","s0103","22216","8","23121","905","8","s0103","1","","","","","","","","","","","","","",""
"13","2026-05-25T06:49:25.896Z","run","s0106","23121","2","24549","1428","2","s0106","1","","","","","","","","","","","","","",""
"14","2026-05-25T06:49:27.310Z","run","s0109","24549","5","25975","1426","5","s0109","1","","","","","","","","","","","","","",""
"15","2026-05-25T06:49:28.746Z","run","s0105","25975","1","27095","1120","1","s0105","1","","","","","","","","","","","","","",""
"16","2026-05-25T06:49:29.860Z","run","s0101","27095","6","28823","1728","6","s0101","1","","","","","","","","","","","","","",""
"17","2026-05-25T06:49:31.596Z","run","s0101","28823","6","29373","550","6","s0101","1","","","","","","","","","","","","","",""
"18","2026-05-25T06:49:32.147Z","run","s0109","29373","5","30724","1351","5","s0109","1","","","","","","","","","","","","","",""
"19","2026-05-25T06:49:33.497Z","run","s0102","30724","7","32373","1649","7","s0102","1","","","","","","","","","","","","","",""
"20","2026-05-25T06:49:35.148Z","run","s0105","32373","1","33390","1017","1","s0105","1","","","","","","","","","","","","","",""
"21","2026-05-25T06:49:36.163Z","run","s0107","33390","3","34740","1350","3","s0107","1","","","","","","","","","","","","","",""
"22","2026-05-25T06:49:37.514Z","run","s0105","34740","1","35761","1021","1","s0105","1","","","","","","","","","","","","","",""
"23","2026-05-25T06:49:38.529Z","run","s0102","35761","7","37657","1896","7","s0102","1","","","","","","","","","","","","","",""
"24","2026-05-25T06:49:40.431Z","run","s0101","37657","6","39191","1534","6","s0101","1","","","","","","","","","","","","","",""
"25","2026-05-25T06:49:41.965Z","run","s0108","39191","4","40708","1517","4","s0108","1","","","","","","","","","","","","","",""
"26","2026-05-25T06:49:43.482Z","run","s0108","40708","4","41492","784","4","s0108","1","","","","","","","","","","","","","",""
"27","2026-05-25T06:49:44.266Z","run","s0103","41492","8","42892","1400","8","s0103","1","","","","","","","","","","","","","",""
"28","2026-05-25T06:49:45.666Z","run","s0109","42892","5","44476","1584","5","s0109","1","","","","","","","","","","","","","",""
"29","2026-05-25T06:49:47.250Z","run","s0109","44476","5","45376","900","5","s0109","1","","","","","","","","","","","","","",""
"30","2026-05-25T06:49:48.150Z","run","s0109","45376","5","46193","817","5","s0109","1","","","","","","","","","","","","","",""
"31","2026-05-25T06:49:48.968Z","run","s0107","46193","3","47493","1300","3","s0107","1","","","","","","","","","","","","","",""
"32","2026-05-25T06:49:50.267Z","run","s0102","47493","7","49060","1567","7","s0102","1","","","","","","","","","","","","","",""
"33","2026-05-25T06:49:51.833Z","run","s0106","49060","2","50361","1301","2","s0106","1","","","","","","","","","","","","","",""
"34","2026-05-25T06:49:53.133Z","run","s0104","50361","9","51811","1450","9","s0104","1","","","","","","","","","","","","","",""
"35","2026-05-25T06:49:54.584Z","run","s0103","51811","8","53061","1250","8","s0103","1","","","","","","","","","","","","","",""
"36","2026-05-25T06:49:55.835Z","run","s0106","53061","2","54329","1268","2","s0106","1","","","","","","","","","","","","","",""
"37","2026-05-25T06:49:57.103Z","run","s0105","54329","1","55312","983","1","s0105","1","","","","","","","","","","","","","",""
"38","2026-05-25T06:49:58.086Z","run","s0108","55312","4","57397","2085","4","s0108","1","","","","","","","","","","","","","",""
"39","2026-05-25T06:50:00.169Z","run","s0106","57397","2","58529","1132","2","s0106","1","","","","","","","","","","","","","",""
"40","2026-05-25T06:50:01.303Z","run","s0103","58529","8","59665","1136","8","s0103","1","","","","","","","","","","","","","",""
"41","2026-05-25T06:50:02.437Z","run","s0105","59665","1","60715","1050","1","s0105","1","","","","","","","","","","","","","",""
"42","2026-05-25T06:50:03.483Z","run","s0107","60715","3","61913","1198","3","s0107","1","","","","","","","","","","","","","",""
"43","2026-05-25T06:50:04.690Z","run","s0109","61913","5","63347","1434","5","s0109","1","","","","","","","","","","","","","",""
"44","2026-05-25T06:50:06.120Z","run","s0108","63347","4","65049","1702","4","s0108","1","","","","","","","","","","","","","",""
"45","2026-05-25T06:50:07.819Z","run","s0106","65049","2","66114","1065","2","s0106","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","788","0.0-0.0","portrait-primary","3","iPhone","en-GB","60","7.1.2","3.90.0","351399","1","1"
