"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-27T14:54:08.154Z","run","s0401","6915","1","8684","1769","1","s0401","1","","","","","","","","","","","","","",""
"2","2026-05-27T14:54:09.940Z","run","s0401","8684","1","9200","516","1","s0401","1","","","","","","","","","","","","","",""
"3","2026-05-27T14:54:10.456Z","run","s0404","9200","4","10688","1488","4","s0404","1","","","","","","","","","","","","","",""
"4","2026-05-27T14:54:11.943Z","run","s0403","10688","3","11978","1290","3","s0403","1","","","","","","","","","","","","","",""
"5","2026-05-27T14:54:13.226Z","run","s0406","11978","6","13606","1628","6","s0406","1","","","","","","","","","","","","","",""
"6","2026-05-27T14:54:14.861Z","run","s0405","13606","5","15155","1549","5","s0405","1","","","","","","","","","","","","","",""
"7","2026-05-27T14:54:16.411Z","run","s0406","15155","6","16773","1618","6","s0406","1","","","","","","","","","","","","","",""
"8","2026-05-27T14:54:18.030Z","run","s0403","16773","3","18067","1294","3","s0403","1","","","","","","","","","","","","","",""
"9","2026-05-27T14:54:19.314Z","run","s0402","18067","2","19291","1224","2","s0402","1","","","","","","","","","","","","","",""
"10","2026-05-27T14:54:20.548Z","run","s0403","19291","3","20492","1201","3","s0403","1","","","","","","","","","","","","","",""
"11","2026-05-27T14:54:21.749Z","run","s0402","20492","2","21777","1285","2","s0402","1","","","","","","","","","","","","","",""
"12","2026-05-27T14:54:23.033Z","run","s0403","21777","3","22594","817","3","s0403","1","","","","","","","","","","","","","",""
"13","2026-05-27T14:54:23.851Z","run","s0406","22594","6","24295","1701","6","s0406","1","","","","","","","","","","","","","",""
"14","2026-05-27T14:54:25.552Z","run","s0409","24295","9","25997","1702","9","s0409","1","","","","","","","","","","","","","",""
"15","2026-05-27T14:54:27.253Z","run","s0405","25997","5","27315","1318","5","s0405","1","","","","","","","","","","","","","",""
"16","2026-05-27T14:54:28.571Z","run","s0401","27315","1","28501","1186","1","s0401","1","","","","","","","","","","","","","",""
"17","2026-05-27T14:54:29.756Z","run","s0401","28501","1","29100","599","1","s0401","1","","","","","","","","","","","","","",""
"18","2026-05-27T14:54:30.357Z","run","s0409","29100","9","30784","1684","9","s0409","1","","","","","","","","","","","","","",""
"19","2026-05-27T14:54:32.041Z","run","s0402","30784","2","31852","1068","2","s0402","1","","","","","","","","","","","","","",""
"20","2026-05-27T14:54:33.108Z","run","s0405","31852","5","33820","1968","5","s0405","1","","","","","","","","","","","","","",""
"21","2026-05-27T14:54:35.076Z","run","s0407","33820","8","35381","1561","7","s0408","0","","","","","","","","","","","","","",""
"22","2026-05-27T14:54:36.627Z","run","s0405","35381","5","37139","1758","5","s0405","1","","","","","","","","","","","","","",""
"23","2026-05-27T14:54:38.396Z","run","s0402","37139","2","38509","1370","2","s0402","1","","","","","","","","","","","","","",""
"24","2026-05-27T14:54:39.752Z","run","s0401","38509","1","39374","865","1","s0401","1","","","","","","","","","","","","","",""
"25","2026-05-27T14:54:40.631Z","run","s0408","39374","8","41111","1737","8","s0408","1","","","","","","","","","","","","","",""
"26","2026-05-27T14:54:42.366Z","run","s0408","41111","8","41959","848","8","s0408","1","","","","","","","","","","","","","",""
"27","2026-05-27T14:54:43.217Z","run","s0403","41959","3","43315","1356","3","s0403","1","","","","","","","","","","","","","",""
"28","2026-05-27T14:54:44.558Z","run","s0409","43315","9","44745","1430","9","s0409","1","","","","","","","","","","","","","",""
"29","2026-05-27T14:54:46.002Z","run","s0409","44745","9","45345","600","9","s0409","1","","","","","","","","","","","","","",""
"30","2026-05-27T14:54:46.602Z","run","s0409","45345","9","46180","835","9","s0409","1","","","","","","","","","","","","","",""
"31","2026-05-27T14:54:47.436Z","run","s0407","46180","7","48181","2001","7","s0407","1","","","","","","","","","","","","","",""
"32","2026-05-27T14:54:49.438Z","run","s0402","48181","2","49148","967","2","s0402","1","","","","","","","","","","","","","",""
"33","2026-05-27T14:54:50.405Z","run","s0406","49148","6","50950","1802","6","s0406","1","","","","","","","","","","","","","",""
"34","2026-05-27T14:54:52.207Z","run","s0404","50950","4","52268","1318","4","s0404","1","","","","","","","","","","","","","",""
"35","2026-05-27T14:54:53.525Z","run","s0403","52268","3","53502","1234","3","s0403","1","","","","","","","","","","","","","",""
"36","2026-05-27T14:54:54.759Z","run","s0406","53502","6","55037","1535","6","s0406","1","","","","","","","","","","","","","",""
"37","2026-05-27T14:54:56.294Z","run","s0405","55037","5","56738","1701","5","s0405","1","","","","","","","","","","","","","",""
"38","2026-05-27T14:54:57.995Z","run","s0408","56738","8","58506","1768","8","s0408","1","","","","","","","","","","","","","",""
"39","2026-05-27T14:54:59.763Z","run","s0406","58506","6","59674","1168","6","s0406","1","","","","","","","","","","","","","",""
"40","2026-05-27T14:55:00.930Z","run","s0403","59674","3","61042","1368","3","s0403","1","","","","","","","","","","","","","",""
"41","2026-05-27T14:55:02.299Z","run","s0405","61042","5","62609","1567","5","s0405","1","","","","","","","","","","","","","",""
"42","2026-05-27T14:55:03.866Z","run","s0407","62609","7","64161","1552","7","s0407","1","","","","","","","","","","","","","",""
"43","2026-05-27T14:55:05.417Z","run","s0409","64161","9","65480","1319","9","s0409","1","","","","","","","","","","","","","",""
"44","2026-05-27T14:55:06.735Z","run","s0408","65480","8","66847","1367","8","s0408","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","654","0.0-0.0","portrait-primary","3","iPhone","en-GB","60","7.1.2","3.90.0","351400","1","1"
