"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-25T08:36:32.761Z","run","s0101","10811","6","13147","2336","6","s0101","1","","","","","","","","","","","","","",""
"2","2026-05-25T08:36:35.098Z","run","s0101","13147","6","14598","1451","6","s0101","1","","","","","","","","","","","","","",""
"3","2026-05-25T08:36:36.550Z","run","s0104","14598","9","16334","1736","9","s0104","1","","","","","","","","","","","","","",""
"4","2026-05-25T08:36:38.285Z","run","s0103","16334","8","17844","1510","8","s0103","1","","","","","","","","","","","","","",""
"5","2026-05-25T08:36:39.795Z","run","s0106","17844","2","19079","1235","2","s0106","1","","","","","","","","","","","","","",""
"6","2026-05-25T08:36:41.031Z","run","s0105","19079","1","21874","2795","1","s0105","1","","","","","","","","","","","","","",""
"7","2026-05-25T08:36:43.826Z","run","s0106","21874","2","23050","1176","2","s0106","1","","","","","","","","","","","","","",""
"8","2026-05-25T08:36:45.003Z","run","s0103","23050","8","24543","1493","8","s0103","1","","","","","","","","","","","","","",""
"9","2026-05-25T08:36:46.495Z","run","s0102","24543","7","26178","1635","7","s0102","1","","","","","","","","","","","","","",""
"10","2026-05-25T08:36:48.130Z","run","s0103","26178","8","27413","1235","8","s0103","1","","","","","","","","","","","","","",""
"11","2026-05-25T08:36:49.364Z","run","s0102","27413","7","28381","968","7","s0102","1","","","","","","","","","","","","","",""
"12","2026-05-25T08:36:50.332Z","run","s0103","28381","8","29257","876","8","s0103","1","","","","","","","","","","","","","",""
"13","2026-05-25T08:36:51.208Z","run","s0106","29257","2","30592","1335","2","s0106","1","","","","","","","","","","","","","",""
"14","2026-05-25T08:36:52.544Z","run","s0109","30592","5","31751","1159","5","s0109","1","","","","","","","","","","","","","",""
"15","2026-05-25T08:36:53.703Z","run","s0105","31751","1","33704","1953","1","s0105","1","","","","","","","","","","","","","",""
"16","2026-05-25T08:36:55.655Z","run","s0101","33704","6","35172","1468","6","s0101","1","","","","","","","","","","","","","",""
"17","2026-05-25T08:36:57.124Z","run","s0101","35172","6","35698","526","6","s0101","1","","","","","","","","","","","","","",""
"18","2026-05-25T08:36:57.649Z","run","s0109","35698","5","37525","1827","5","s0109","1","","","","","","","","","","","","","",""
"19","2026-05-25T08:36:59.476Z","run","s0102","37525","8","38843","1318","7","s0103","0","","","","","","","","","","","","","",""
"20","2026-05-25T08:37:00.795Z","run","s0105","38843","1","40387","1544","1","s0105","1","","","","","","","","","","","","","",""
"21","2026-05-25T08:37:02.338Z","run","s0107","40387","3","41980","1593","3","s0107","1","","","","","","","","","","","","","",""
"22","2026-05-25T08:37:03.932Z","run","s0105","41980","1","43148","1168","1","s0105","1","","","","","","","","","","","","","",""
"23","2026-05-25T08:37:05.100Z","run","s0102","43148","7","44374","1226","7","s0102","1","","","","","","","","","","","","","",""
"24","2026-05-25T08:37:06.326Z","run","s0101","44374","6","45242","868","6","s0101","1","","","","","","","","","","","","","",""
"25","2026-05-25T08:37:07.194Z","run","s0108","45242","3","46819","1577","4","s0107","0","","","","","","","","","","","","","",""
"26","2026-05-25T08:37:08.771Z","run","s0108","46819","4","47345","526","4","s0108","1","","","","","","","","","","","","","",""
"27","2026-05-25T08:37:09.297Z","run","s0103","47345","8","50282","2937","8","s0103","1","","","","","","","","","","","","","",""
"28","2026-05-25T08:37:12.233Z","run","s0109","50282","5","51817","1535","5","s0109","1","","","","","","","","","","","","","",""
"29","2026-05-25T08:37:13.767Z","run","s0109","51817","5","52693","876","5","s0109","1","","","","","","","","","","","","","",""
"30","2026-05-25T08:37:14.644Z","run","s0109","52693","5","53502","809","5","s0109","1","","","","","","","","","","","","","",""
"31","2026-05-25T08:37:15.453Z","run","s0107","53502","3","55304","1802","3","s0107","1","","","","","","","","","","","","","",""
"32","2026-05-25T08:37:17.255Z","run","s0102","55304","7","56447","1143","7","s0102","1","","","","","","","","","","","","","",""
"33","2026-05-25T08:37:18.398Z","run","s0106","56447","2","57898","1451","2","s0106","1","","","","","","","","","","","","","",""
"34","2026-05-25T08:37:19.850Z","run","s0104","57898","9","59100","1202","9","s0104","1","","","","","","","","","","","","","",""
"35","2026-05-25T08:37:21.053Z","run","s0103","59100","8","60335","1235","8","s0103","1","","","","","","","","","","","","","",""
"36","2026-05-25T08:37:22.286Z","run","s0106","60335","2","61294","959","2","s0106","1","","","","","","","","","","","","","",""
"37","2026-05-25T08:37:23.246Z","run","s0105","61294","1","62195","901","1","s0105","1","","","","","","","","","","","","","",""
"38","2026-05-25T08:37:24.147Z","run","s0108","62195","4","63956","1761","4","s0108","1","","","","","","","","","","","","","",""
"39","2026-05-25T08:37:25.907Z","run","s0106","63956","2","65449","1493","2","s0106","1","","","","","","","","","","","","","",""
"40","2026-05-25T08:37:27.401Z","run","s0103","65449","7","67218","1769","8","s0102","0","","","","","","","","","","","","","",""
"41","2026-05-25T08:37:29.170Z","run","s0105","67218","1","69328","2110","1","s0105","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","691","0.0-0.0","portrait-primary","3","Linux armv81","nl-NL","60","7.1.2","3.90.0","351396","1","1"
