"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-23T14:23:21.547Z","run","s0401","11864","9","14691","2827","9","s0401","1","","","","","","","","","","","","","",""
"2","2026-05-23T14:23:24.383Z","run","s0401","14691","9","15517","826","9","s0401","1","","","","","","","","","","","","","",""
"3","2026-05-23T14:23:25.216Z","run","s0404","15517","3","17419","1902","3","s0404","1","","","","","","","","","","","","","",""
"4","2026-05-23T14:23:27.118Z","run","s0403","17419","2","19537","2118","2","s0403","1","","","","","","","","","","","","","",""
"5","2026-05-23T14:23:29.236Z","run","s0406","19537","5","21422","1885","5","s0406","1","","","","","","","","","","","","","",""
"6","2026-05-23T14:23:31.120Z","run","s0405","21422","4","22957","1535","4","s0405","1","","","","","","","","","","","","","",""
"7","2026-05-23T14:23:32.655Z","run","s0406","22957","5","25061","2104","5","s0406","1","","","","","","","","","","","","","",""
"8","2026-05-23T14:23:34.757Z","run","s0403","25061","2","26960","1899","2","s0403","1","","","","","","","","","","","","","",""
"9","2026-05-23T14:23:36.658Z","run","s0402","26960","1","28429","1469","1","s0402","1","","","","","","","","","","","","","",""
"10","2026-05-23T14:23:38.127Z","run","s0403","28429","2","29846","1417","2","s0403","1","","","","","","","","","","","","","",""
"11","2026-05-23T14:23:39.544Z","run","s0402","29846","1","30996","1150","1","s0402","1","","","","","","","","","","","","","",""
"12","2026-05-23T14:23:40.694Z","run","s0403","30996","2","31987","991","2","s0403","1","","","","","","","","","","","","","",""
"13","2026-05-23T14:23:41.679Z","run","s0406","31987","5","33750","1763","5","s0406","1","","","","","","","","","","","","","",""
"14","2026-05-23T14:23:43.447Z","run","s0409","33750","8","35216","1466","8","s0409","1","","","","","","","","","","","","","",""
"15","2026-05-23T14:23:44.914Z","run","s0405","35216","4","37570","2354","4","s0405","1","","","","","","","","","","","","","",""
"16","2026-05-23T14:23:47.269Z","run","s0401","37570","9","39287","1717","9","s0401","1","","","","","","","","","","","","","",""
"17","2026-05-23T14:23:48.984Z","run","s0401","39287","9","40187","900","9","s0401","1","","","","","","","","","","","","","",""
"18","2026-05-23T14:23:49.885Z","run","s0409","40187","8","41858","1671","8","s0409","1","","","","","","","","","","","","","",""
"19","2026-05-23T14:23:51.553Z","run","s0402","41858","1","43107","1249","1","s0402","1","","","","","","","","","","","","","",""
"20","2026-05-23T14:23:52.804Z","run","s0405","43107","4","44827","1720","4","s0405","1","","","","","","","","","","","","","",""
"21","2026-05-23T14:23:54.522Z","run","s0407","44827","6","46498","1671","6","s0407","1","","","","","","","","","","","","","",""
"22","2026-05-23T14:23:56.190Z","run","s0405","46498","4","48261","1763","4","s0405","1","","","","","","","","","","","","","",""
"23","2026-05-23T14:23:57.959Z","run","s0402","48261","1","49428","1167","1","s0402","1","","","","","","","","","","","","","",""
"24","2026-05-23T14:23:59.126Z","run","s0401","49428","9","50529","1101","9","s0401","1","","","","","","","","","","","","","",""
"25","2026-05-23T14:24:00.227Z","run","s0408","50529","7","53381","2852","7","s0408","1","","","","","","","","","","","","","",""
"26","2026-05-23T14:24:03.080Z","run","s0408","53381","7","54183","802","7","s0408","1","","","","","","","","","","","","","",""
"27","2026-05-23T14:24:03.879Z","run","s0403","54183","2","55983","1800","2","s0403","1","","","","","","","","","","","","","",""
"28","2026-05-23T14:24:05.681Z","run","s0409","55983","8","57651","1668","8","s0409","1","","","","","","","","","","","","","",""
"29","2026-05-23T14:24:07.349Z","run","s0409","57651","8","58393","742","8","s0409","1","","","","","","","","","","","","","",""
"30","2026-05-23T14:24:08.083Z","run","s0409","58393","8","59636","1243","8","s0409","1","","","","","","","","","","","","","",""
"31","2026-05-23T14:24:09.335Z","run","s0407","59636","6","61804","2168","6","s0407","1","","","","","","","","","","","","","",""
"32","2026-05-23T14:24:11.502Z","run","s0402","61804","1","62955","1151","1","s0402","1","","","","","","","","","","","","","",""
"33","2026-05-23T14:24:12.653Z","run","s0406","62955","5","65241","2286","5","s0406","1","","","","","","","","","","","","","",""
"34","2026-05-23T14:24:14.937Z","run","s0404","65241","3","66749","1508","3","s0404","1","","","","","","","","","","","","","",""
"35","2026-05-23T14:24:16.440Z","run","s0403","66749","2","68760","2011","2","s0403","1","","","","","","","","","","","","","",""
"36","2026-05-23T14:24:18.459Z","run","s0406","68760","5","70661","1901","5","s0406","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","894","0.0-0.0","portrait-primary","3","iPhone","en-GB","60","7.1.2","3.90.0","351400","1","1"
