"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-25T09:08:38.347Z","run","s0101","10249","6","12778","2529","6","s0101","1","","","","","","","","","","","","","",""
"2","2026-05-25T09:08:40.894Z","run","s0101","12778","6","14292","1514","6","s0101","1","","","","","","","","","","","","","",""
"3","2026-05-25T09:08:42.407Z","run","s0104","14292","9","16239","1947","9","s0104","1","","","","","","","","","","","","","",""
"4","2026-05-25T09:08:44.354Z","run","s0103","16239","8","17887","1648","8","s0103","1","","","","","","","","","","","","","",""
"5","2026-05-25T09:08:46.002Z","run","s0106","17887","2","19851","1964","2","s0106","1","","","","","","","","","","","","","",""
"6","2026-05-25T09:08:47.965Z","run","s0105","19851","1","21598","1747","1","s0105","1","","","","","","","","","","","","","",""
"7","2026-05-25T09:08:49.712Z","run","s0106","21598","2","23312","1714","2","s0106","1","","","","","","","","","","","","","",""
"8","2026-05-25T09:08:51.426Z","run","s0103","23312","8","25475","2163","8","s0103","1","","","","","","","","","","","","","",""
"9","2026-05-25T09:08:53.589Z","run","s0102","25475","7","27189","1714","7","s0102","1","","","","","","","","","","","","","",""
"10","2026-05-25T09:08:55.303Z","run","s0103","27189","8","28786","1597","8","s0103","1","","","","","","","","","","","","","",""
"11","2026-05-25T09:08:56.901Z","run","s0102","28786","7","29868","1082","7","s0102","1","","","","","","","","","","","","","",""
"12","2026-05-25T09:08:57.982Z","run","s0103","29868","8","30766","898","8","s0103","1","","","","","","","","","","","","","",""
"13","2026-05-25T09:08:58.881Z","run","s0106","30766","2","33162","2396","2","s0106","1","","","","","","","","","","","","","",""
"14","2026-05-25T09:09:01.277Z","run","s0109","33162","5","35658","2496","5","s0109","1","","","","","","","","","","","","","",""
"15","2026-05-25T09:09:03.773Z","run","s0105","35658","1","37455","1797","1","s0105","1","","","","","","","","","","","","","",""
"16","2026-05-25T09:09:05.570Z","run","s0101","37455","6","39968","2513","6","s0101","1","","","","","","","","","","","","","",""
"17","2026-05-25T09:09:08.082Z","run","s0101","39968","6","40633","665","6","s0101","1","","","","","","","","","","","","","",""
"18","2026-05-25T09:09:08.748Z","run","s0109","40633","5","42380","1747","5","s0109","1","","","","","","","","","","","","","",""
"19","2026-05-25T09:09:10.495Z","run","s0102","42380","7","44826","2446","7","s0102","1","","","","","","","","","","","","","",""
"20","2026-05-25T09:09:12.941Z","run","s0105","44826","1","46607","1781","1","s0105","1","","","","","","","","","","","","","",""
"21","2026-05-25T09:09:14.721Z","run","s0107","46607","3","49253","2646","3","s0107","1","","","","","","","","","","","","","",""
"22","2026-05-25T09:09:17.367Z","run","s0105","49253","1","51898","2645","1","s0105","1","","","","","","","","","","","","","",""
"23","2026-05-25T09:09:20.013Z","run","s0102","51898","7","53765","1867","7","s0102","1","","","","","","","","","","","","","",""
"24","2026-05-25T09:09:21.876Z","run","s0101","53765","6","56042","2277","6","s0101","1","","","","","","","","","","","","","",""
"25","2026-05-25T09:09:24.156Z","run","s0108","56042","4","59087","3045","4","s0108","1","","","","","","","","","","","","","",""
"26","2026-05-25T09:09:27.201Z","run","s0108","59087","4","60351","1264","4","s0108","1","","","","","","","","","","","","","",""
"27","2026-05-25T09:09:28.466Z","run","s0103","60351","8","62664","2313","8","s0103","1","","","","","","","","","","","","","",""
"28","2026-05-25T09:09:30.779Z","run","s0109","62664","5","64628","1964","5","s0109","1","","","","","","","","","","","","","",""
"29","2026-05-25T09:09:32.742Z","run","s0109","64628","5","65826","1198","5","s0109","1","","","","","","","","","","","","","",""
"30","2026-05-25T09:09:33.940Z","run","s0109","65826","5","68123","2297","5","s0109","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","639","0.0-0.0","portrait-primary","3","iPhone","en-GB","60","7.1.2","3.90.0","351397","1","1"
