"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-28T16:44:04.870Z","run","s0501","7523","7","9100","1577","7","s0501","1","","","","","","","","","","","","","",""
"2","2026-05-28T16:44:06.449Z","run","s0501","9100","7","9742","642","7","s0501","1","","","","","","","","","","","","","",""
"3","2026-05-28T16:44:07.092Z","run","s0504","9742","1","11077","1335","1","s0504","1","","","","","","","","","","","","","",""
"4","2026-05-28T16:44:08.426Z","run","s0503","11077","9","12387","1310","9","s0503","1","","","","","","","","","","","","","",""
"5","2026-05-28T16:44:09.737Z","run","s0506","12387","3","13863","1476","3","s0506","1","","","","","","","","","","","","","",""
"6","2026-05-28T16:44:11.213Z","run","s0505","13863","2","15215","1352","2","s0505","1","","","","","","","","","","","","","",""
"7","2026-05-28T16:44:12.565Z","run","s0506","15215","3","16934","1719","3","s0506","1","","","","","","","","","","","","","",""
"8","2026-05-28T16:44:14.284Z","run","s0503","16934","9","18002","1068","9","s0503","1","","","","","","","","","","","","","",""
"9","2026-05-28T16:44:15.351Z","run","s0502","18002","8","20129","2127","8","s0502","1","","","","","","","","","","","","","",""
"10","2026-05-28T16:44:17.479Z","run","s0503","20129","9","21047","918","9","s0503","1","","","","","","","","","","","","","",""
"11","2026-05-28T16:44:18.397Z","run","s0502","21047","8","22157","1110","8","s0502","1","","","","","","","","","","","","","",""
"12","2026-05-28T16:44:19.506Z","run","s0503","22157","9","23859","1702","9","s0503","1","","","","","","","","","","","","","",""
"13","2026-05-28T16:44:21.208Z","run","s0506","23859","3","25268","1409","3","s0506","1","","","","","","","","","","","","","",""
"14","2026-05-28T16:44:22.617Z","run","s0509","25268","6","26420","1152","6","s0509","1","","","","","","","","","","","","","",""
"15","2026-05-28T16:44:23.769Z","run","s0505","26420","2","27721","1301","2","s0505","1","","","","","","","","","","","","","",""
"16","2026-05-28T16:44:25.070Z","run","s0501","27721","7","30116","2395","7","s0501","1","","","","","","","","","","","","","",""
"17","2026-05-28T16:44:27.463Z","run","s0501","30116","7","30616","500","7","s0501","1","","","","","","","","","","","","","",""
"18","2026-05-28T16:44:27.965Z","run","s0509","30616","6","31960","1344","6","s0509","1","","","","","","","","","","","","","",""
