"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-24T13:20:01.513Z","run","s0301","23166","4","25795","2629","4","s0301","1","","","","","","","","","","","","","",""
"2","2026-05-24T13:20:04.161Z","run","s0301","25795","4","26860","1065","4","s0301","1","","","","","","","","","","","","","",""
"3","2026-05-24T13:20:05.224Z","run","s0304","26860","7","30255","3395","7","s0304","1","","","","","","","","","","","","","",""
"4","2026-05-24T13:20:08.619Z","run","s0303","30255","6","31871","1616","6","s0303","1","","","","","","","","","","","","","",""
"5","2026-05-24T13:20:10.233Z","run","s0306","31871","9","33949","2078","9","s0306","1","","","","","","","","","","","","","",""
"6","2026-05-24T13:20:12.313Z","run","s0305","33949","8","35533","1584","8","s0305","1","","","","","","","","","","","","","",""
"7","2026-05-24T13:20:13.894Z","run","s0306","35533","9","37394","1861","9","s0306","1","","","","","","","","","","","","","",""
"8","2026-05-24T13:20:15.758Z","run","s0303","37394","6","38708","1314","6","s0303","1","","","","","","","","","","","","","",""
"9","2026-05-24T13:20:17.072Z","run","s0302","38708","5","40322","1614","5","s0302","1","","","","","","","","","","","","","",""
"10","2026-05-24T13:20:18.686Z","run","s0303","40322","6","41870","1548","6","s0303","1","","","","","","","","","","","","","",""
"11","2026-05-24T13:20:20.234Z","run","s0302","41870","5","43051","1181","5","s0302","1","","","","","","","","","","","","","",""
"12","2026-05-24T13:20:21.415Z","run","s0303","43051","6","44562","1511","6","s0303","1","","","","","","","","","","","","","",""
"13","2026-05-24T13:20:22.913Z","run","s0306","44562","9","45997","1435","9","s0306","1","","","","","","","","","","","","","",""
"14","2026-05-24T13:20:24.361Z","run","s0309","45997","3","48027","2030","3","s0309","1","","","","","","","","","","","","","",""
"15","2026-05-24T13:20:26.391Z","run","s0305","48027","8","49441","1414","8","s0305","1","","","","","","","","","","","","","",""
"16","2026-05-24T13:20:27.805Z","run","s0301","49441","4","51272","1831","4","s0301","1","","","","","","","","","","","","","",""
"17","2026-05-24T13:20:29.636Z","run","s0301","51272","4","52270","998","4","s0301","1","","","","","","","","","","","","","",""
"18","2026-05-24T13:20:30.634Z","run","s0309","52270","3","54350","2080","3","s0309","1","","","","","","","","","","","","","",""
"19","2026-05-24T13:20:32.714Z","run","s0302","54350","5","55698","1348","5","s0302","1","","","","","","","","","","","","","",""
"20","2026-05-24T13:20:34.062Z","run","s0305","55698","8","57163","1465","8","s0305","1","","","","","","","","","","","","","",""
"21","2026-05-24T13:20:35.527Z","run","s0307","57163","1","59243","2080","1","s0307","1","","","","","","","","","","","","","",""
"22","2026-05-24T13:20:37.606Z","run","s0305","59243","8","61290","2047","8","s0305","1","","","","","","","","","","","","","",""
"23","2026-05-24T13:20:39.654Z","run","s0302","61290","5","63407","2117","5","s0302","1","","","","","","","","","","","","","",""
"24","2026-05-24T13:20:41.767Z","run","s0301","63407","4","64901","1494","4","s0301","1","","","","","","","","","","","","","",""
"25","2026-05-24T13:20:43.265Z","run","s0308","64901","2","67946","3045","2","s0308","1","","","","","","","","","","","","","",""
"26","2026-05-24T13:20:46.310Z","run","s0308","67946","2","69577","1631","2","s0308","1","","","","","","","","","","","","","",""
"27","2026-05-24T13:20:47.941Z","run","s0303","69577","6","71341","1764","6","s0303","1","","","","","","","","","","","","","",""
"28","2026-05-24T13:20:49.705Z","run","s0309","71341","3","73005","1664","3","s0309","1","","","","","","","","","","","","","",""
"29","2026-05-24T13:20:51.369Z","run","s0309","73005","3","73754","749","3","s0309","1","","","","","","","","","","","","","",""
"30","2026-05-24T13:20:52.118Z","run","s0309","73754","3","74453","699","3","s0309","1","","","","","","","","","","","","","",""
"31","2026-05-24T13:20:52.817Z","run","s0307","74453","1","75953","1500","1","s0307","1","","","","","","","","","","","","","",""
"32","2026-05-24T13:20:54.314Z","run","s0302","75953","5","77249","1296","5","s0302","1","","","","","","","","","","","","","",""
"33","2026-05-24T13:20:55.613Z","run","s0306","77249","9","78424","1175","9","s0306","1","","","","","","","","","","","","","",""
"34","2026-05-24T13:20:56.777Z","run","s0304","78424","7","80015","1591","7","s0304","1","","","","","","","","","","","","","",""
"35","2026-05-24T13:20:58.375Z","run","s0303","80015","6","81909","1894","6","s0303","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","653","0.0-0.0","portrait-primary","3","iPhone","en-GB","60","7.1.2","3.90.0","351397","1","1"
