"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-21T14:41:14.895Z","run","s0401","16868","7","19100","2232","7","s0401","1","","","","","","","","","","","","","",""
"2","2026-05-21T14:41:17.132Z","run","s0401","19100","7","20233","1133","7","s0401","1","","","","","","","","","","","","","",""
"3","2026-05-21T14:41:18.264Z","run","s0404","20233","1","21933","1700","1","s0404","1","","","","","","","","","","","","","",""
"4","2026-05-21T14:41:19.966Z","run","s0403","21933","9","23899","1966","9","s0403","1","","","","","","","","","","","","","",""
"5","2026-05-21T14:41:21.930Z","run","s0406","23899","3","26831","2932","3","s0406","1","","","","","","","","","","","","","",""
"6","2026-05-21T14:41:24.858Z","run","s0405","26831","2","28180","1349","2","s0405","1","","","","","","","","","","","","","",""
"7","2026-05-21T14:41:26.221Z","run","s0406","28180","3","29680","1500","3","s0406","1","","","","","","","","","","","","","",""
"8","2026-05-21T14:41:27.706Z","run","s0403","29680","9","31446","1766","9","s0403","1","","","","","","","","","","","","","",""
"9","2026-05-21T14:41:29.477Z","run","s0402","31446","8","33179","1733","8","s0402","1","","","","","","","","","","","","","",""
"10","2026-05-21T14:41:31.209Z","run","s0403","33179","9","34379","1200","9","s0403","1","","","","","","","","","","","","","",""
"11","2026-05-21T14:41:32.416Z","run","s0402","34379","8","35761","1382","8","s0402","1","","","","","","","","","","","","","",""
"12","2026-05-21T14:41:33.796Z","run","s0403","35761","9","36844","1083","9","s0403","1","","","","","","","","","","","","","",""
"13","2026-05-21T14:41:34.883Z","run","s0406","36844","3","38260","1416","3","s0406","1","","","","","","","","","","","","","",""
"14","2026-05-21T14:41:36.301Z","run","s0409","38260","6","40310","2050","6","s0409","1","","","","","","","","","","","","","",""
"15","2026-05-21T14:41:38.348Z","run","s0405","40310","2","41826","1516","2","s0405","1","","","","","","","","","","","","","",""
"16","2026-05-21T14:41:39.856Z","run","s0401","41826","7","44308","2482","7","s0401","1","","","","","","","","","","","","","",""
"17","2026-05-21T14:41:42.346Z","run","s0401","44308","7","44842","534","7","s0401","1","","","","","","","","","","","","","",""
"18","2026-05-21T14:41:42.878Z","run","s0409","44842","6","46541","1699","6","s0409","1","","","","","","","","","","","","","",""
"19","2026-05-21T14:41:44.575Z","run","s0402","46541","8","48240","1699","8","s0402","1","","","","","","","","","","","","","",""
"20","2026-05-21T14:41:46.269Z","run","s0405","48240","2","49707","1467","2","s0405","1","","","","","","","","","","","","","",""
"21","2026-05-21T14:41:47.746Z","run","s0407","49707","4","51273","1566","4","s0407","1","","","","","","","","","","","","","",""
"22","2026-05-21T14:41:49.306Z","run","s0405","51273","2","53672","2399","2","s0405","1","","","","","","","","","","","","","",""
"23","2026-05-21T14:41:51.699Z","run","s0402","53672","8","55438","1766","8","s0402","1","","","","","","","","","","","","","",""
"24","2026-05-21T14:41:53.476Z","run","s0401","55438","7","57171","1733","7","s0401","1","","","","","","","","","","","","","",""
"25","2026-05-21T14:41:55.208Z","run","s0408","57171","5","58537","1366","5","s0408","1","","","","","","","","","","","","","",""
"26","2026-05-21T14:41:56.573Z","run","s0408","58537","5","59570","1033","5","s0408","1","","","","","","","","","","","","","",""
"27","2026-05-21T14:41:57.601Z","run","s0403","59570","9","61786","2216","9","s0403","1","","","","","","","","","","","","","",""
"28","2026-05-21T14:41:59.821Z","run","s0409","61786","6","64818","3032","6","s0409","1","","","","","","","","","","","","","",""
"29","2026-05-21T14:42:02.845Z","run","s0409","64818","6","65435","617","6","s0409","1","","","","","","","","","","","","","",""
"30","2026-05-21T14:42:03.466Z","run","s0409","65435","6","66318","883","6","s0409","1","","","","","","","","","","","","","",""
"31","2026-05-21T14:42:04.359Z","run","s0407","66318","4","68317","1999","4","s0407","1","","","","","","","","","","","","","",""
"32","2026-05-21T14:42:06.353Z","run","s0402","68317","8","71749","3432","8","s0402","1","","","","","","","","","","","","","",""
"33","2026-05-21T14:42:09.789Z","run","s0406","71749","3","73565","1816","3","s0406","1","","","","","","","","","","","","","",""
"34","2026-05-21T14:42:11.603Z","run","s0404","73565","1","75931","2366","1","s0404","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","589","0.0-0.0","landscape-primary","1","Win32","en-US","60","7.1.2","3.90.0","999","1","1"
