"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-27T10:43:26.844Z","run","s0201","7298","1","8938","1640","1","s0201","1","","","","","","","","","","","","","",""
"2","2026-05-27T10:43:28.494Z","run","s0201","8938","1","9649","711","1","s0201","1","","","","","","","","","","","","","",""
"3","2026-05-27T10:43:29.211Z","run","s0204","9649","4","11234","1585","4","s0204","1","","","","","","","","","","","","","",""
"4","2026-05-27T10:43:30.795Z","run","s0203","11234","3","12627","1393","3","s0203","1","","","","","","","","","","","","","",""
"5","2026-05-27T10:43:32.180Z","run","s0206","12627","6","14153","1526","6","s0206","1","","","","","","","","","","","","","",""
"6","2026-05-27T10:43:33.714Z","run","s0205","14153","5","15787","1634","5","s0205","1","","","","","","","","","","","","","",""
"7","2026-05-27T10:43:35.349Z","run","s0206","15787","6","17040","1253","6","s0206","1","","","","","","","","","","","","","",""
"8","2026-05-27T10:43:36.600Z","run","s0203","17040","3","18716","1676","3","s0203","1","","","","","","","","","","","","","",""
"9","2026-05-27T10:43:38.268Z","run","s0202","18716","2","20091","1375","2","s0202","1","","","","","","","","","","","","","",""
"10","2026-05-27T10:43:39.652Z","run","s0203","20091","3","21033","942","3","s0203","1","","","","","","","","","","","","","",""
"11","2026-05-27T10:43:40.587Z","run","s0202","21033","2","22119","1086","2","s0202","1","","","","","","","","","","","","","",""
"12","2026-05-27T10:43:41.671Z","run","s0203","22119","3","23452","1333","3","s0203","1","","","","","","","","","","","","","",""
"13","2026-05-27T10:43:43.005Z","run","s0206","23452","6","25129","1677","6","s0206","1","","","","","","","","","","","","","",""
"14","2026-05-27T10:43:44.689Z","run","s0209","25129","9","27197","2068","9","s0209","1","","","","","","","","","","","","","",""
"15","2026-05-27T10:43:46.758Z","run","s0205","27197","5","28598","1401","5","s0205","1","","","","","","","","","","","","","",""
"16","2026-05-27T10:43:48.160Z","run","s0201","28598","1","29582","984","1","s0201","1","","","","","","","","","","","","","",""
"17","2026-05-27T10:43:49.143Z","run","s0201","29582","1","30268","686","1","s0201","1","","","","","","","","","","","","","",""
"18","2026-05-27T10:43:49.827Z","run","s0209","30268","9","32534","2266","9","s0209","1","","","","","","","","","","","","","",""
"19","2026-05-27T10:43:52.096Z","run","s0202","32534","2","34002","1468","2","s0202","1","","","","","","","","","","","","","",""
"20","2026-05-27T10:43:53.563Z","run","s0205","34002","5","35537","1535","5","s0205","1","","","","","","","","","","","","","",""
"21","2026-05-27T10:43:55.099Z","run","s0207","35537","7","37089","1552","7","s0207","1","","","","","","","","","","","","","",""
"22","2026-05-27T10:43:56.650Z","run","s0205","37089","5","38506","1417","5","s0205","1","","","","","","","","","","","","","",""
"23","2026-05-27T10:43:58.067Z","run","s0202","38506","2","39690","1184","2","s0202","1","","","","","","","","","","","","","",""
"24","2026-05-27T10:43:59.251Z","run","s0201","39690","1","40707","1017","1","s0201","1","","","","","","","","","","","","","",""
"25","2026-05-27T10:44:00.269Z","run","s0208","40707","8","42542","1835","8","s0208","1","","","","","","","","","","","","","",""
"26","2026-05-27T10:44:02.104Z","run","s0208","42542","8","43293","751","8","s0208","1","","","","","","","","","","","","","",""
"27","2026-05-27T10:44:02.854Z","run","s0203","43293","3","44527","1234","3","s0203","1","","","","","","","","","","","","","",""
"28","2026-05-27T10:44:04.089Z","run","s0209","44527","9","45505","978","9","s0209","1","","","","","","","","","","","","","",""
"29","2026-05-27T10:44:05.056Z","run","s0209","45505","9","46028","523","9","s0209","1","","","","","","","","","","","","","",""
"30","2026-05-27T10:44:05.590Z","run","s0209","46028","9","46595","567","9","s0209","1","","","","","","","","","","","","","",""
"31","2026-05-27T10:44:06.157Z","run","s0207","46595","7","48265","1670","7","s0207","1","","","","","","","","","","","","","",""
"32","2026-05-27T10:44:07.825Z","run","s0202","48265","2","49607","1342","2","s0202","1","","","","","","","","","","","","","",""
"33","2026-05-27T10:44:09.159Z","run","s0206","49607","6","51266","1659","6","s0206","1","","","","","","","","","","","","","",""
"34","2026-05-27T10:44:10.828Z","run","s0204","51266","4","52934","1668","4","s0204","1","","","","","","","","","","","","","",""
"35","2026-05-27T10:44:12.495Z","run","s0203","52934","3","54035","1101","3","s0203","1","","","","","","","","","","","","","",""
"36","2026-05-27T10:44:13.583Z","run","s0206","54035","6","55519","1484","6","s0206","1","","","","","","","","","","","","","",""
"37","2026-05-27T10:44:15.081Z","run","s0205","55519","5","56887","1368","5","s0205","1","","","","","","","","","","","","","",""
"38","2026-05-27T10:44:16.448Z","run","s0208","56887","8","59222","2335","8","s0208","1","","","","","","","","","","","","","",""
"39","2026-05-27T10:44:18.784Z","run","s0206","59222","6","60715","1493","6","s0206","1","","","","","","","","","","","","","",""
"40","2026-05-27T10:44:20.268Z","run","s0203","60715","3","61891","1176","3","s0203","1","","","","","","","","","","","","","",""
"41","2026-05-27T10:44:21.453Z","run","s0205","61891","5","63543","1652","5","s0205","1","","","","","","","","","","","","","",""
"42","2026-05-27T10:44:23.104Z","run","s0207","63543","7","65130","1587","7","s0207","1","","","","","","","","","","","","","",""
"43","2026-05-27T10:44:24.689Z","run","s0209","65130","9","66128","998","9","s0209","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","584","0.0-0.0","portrait-primary","3","iPhone","en-GB","60","7.1.2","3.90.0","351400","1","1"
