"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-29T13:18:22.263Z","run","s0301","6982","6","8001","1019","5","s0302","0","","","","","","","","","","","","","",""
"2","2026-05-29T13:18:23.297Z","run","s0301","8001","5","8767","766","5","s0301","1","","","","","","","","","","","","","",""
"3","2026-05-29T13:18:24.063Z","run","s0304","8767","8","10785","2018","8","s0304","1","","","","","","","","","","","","","",""
"4","2026-05-29T13:18:26.082Z","run","s0303","10785","7","12853","2068","7","s0303","1","","","","","","","","","","","","","",""
"5","2026-05-29T13:18:28.150Z","run","s0306","12853","1","14263","1410","1","s0306","1","","","","","","","","","","","","","",""
"6","2026-05-29T13:18:29.551Z","run","s0305","14263","9","15549","1286","9","s0305","1","","","","","","","","","","","","","",""
"7","2026-05-29T13:18:30.835Z","run","s0306","15549","1","16808","1259","1","s0306","1","","","","","","","","","","","","","",""
"8","2026-05-29T13:18:32.105Z","run","s0303","16808","7","18758","1950","7","s0303","1","","","","","","","","","","","","","",""
"9","2026-05-29T13:18:34.055Z","run","s0302","18758","6","20343","1585","6","s0302","1","","","","","","","","","","","","","",""
"10","2026-05-29T13:18:35.640Z","run","s0303","20343","7","22056","1713","7","s0303","1","","","","","","","","","","","","","",""
"11","2026-05-29T13:18:37.341Z","run","s0302","22056","6","23579","1523","6","s0302","1","","","","","","","","","","","","","",""
"12","2026-05-29T13:18:38.875Z","run","s0303","23579","7","24546","967","7","s0303","1","","","","","","","","","","","","","",""
"13","2026-05-29T13:18:39.843Z","run","s0306","24546","1","25780","1234","1","s0306","1","","","","","","","","","","","","","",""
"14","2026-05-29T13:18:41.077Z","run","s0309","25780","4","27132","1352","4","s0309","1","","","","","","","","","","","","","",""
"15","2026-05-29T13:18:42.428Z","run","s0305","27132","9","28092","960","9","s0305","1","","","","","","","","","","","","","",""
"16","2026-05-29T13:18:43.378Z","run","s0301","28092","5","29560","1468","5","s0301","1","","","","","","","","","","","","","",""
"17","2026-05-29T13:18:44.846Z","run","s0301","29560","5","30202","642","5","s0301","1","","","","","","","","","","","","","",""
"18","2026-05-29T13:18:45.496Z","run","s0309","30202","4","31569","1367","4","s0309","1","","","","","","","","","","","","","",""
"19","2026-05-29T13:18:46.865Z","run","s0302","31569","6","32863","1294","6","s0302","1","","","","","","","","","","","","","",""
"20","2026-05-29T13:18:48.149Z","run","s0305","32863","9","33787","924","9","s0305","1","","","","","","","","","","","","","",""
"21","2026-05-29T13:18:49.083Z","run","s0307","33787","2","35182","1395","2","s0307","1","","","","","","","","","","","","","",""
"22","2026-05-29T13:18:50.467Z","run","s0305","35182","9","36122","940","9","s0305","1","","","","","","","","","","","","","",""
"23","2026-05-29T13:18:51.419Z","run","s0302","36122","6","37773","1651","6","s0302","1","","","","","","","","","","","","","",""
"24","2026-05-29T13:18:53.070Z","run","s0301","37773","5","39126","1353","5","s0301","1","","","","","","","","","","","","","",""
"25","2026-05-29T13:18:54.421Z","run","s0308","39126","3","40442","1316","3","s0308","1","","","","","","","","","","","","","",""
"26","2026-05-29T13:18:55.738Z","run","s0308","40442","3","41092","650","3","s0308","1","","","","","","","","","","","","","",""
"27","2026-05-29T13:18:56.389Z","run","s0303","41092","7","42961","1869","7","s0303","1","","","","","","","","","","","","","",""
"28","2026-05-29T13:18:58.257Z","run","s0309","42961","4","44355","1394","4","s0309","1","","","","","","","","","","","","","",""
"29","2026-05-29T13:18:59.641Z","run","s0309","44355","4","44962","607","4","s0309","1","","","","","","","","","","","","","",""
"30","2026-05-29T13:19:00.258Z","run","s0309","44962","4","45647","685","4","s0309","1","","","","","","","","","","","","","",""
"31","2026-05-29T13:19:00.942Z","run","s0307","45647","2","47025","1378","2","s0307","1","","","","","","","","","","","","","",""
"32","2026-05-29T13:19:02.310Z","run","s0302","47025","6","48525","1500","6","s0302","1","","","","","","","","","","","","","",""
"33","2026-05-29T13:19:03.811Z","run","s0306","48525","1","49618","1093","1","s0306","1","","","","","","","","","","","","","",""
"34","2026-05-29T13:19:04.912Z","run","s0304","49618","8","51401","1783","8","s0304","1","","","","","","","","","","","","","",""
"35","2026-05-29T13:19:06.697Z","run","s0303","51401","7","52919","1518","7","s0303","1","","","","","","","","","","","","","",""
"36","2026-05-29T13:19:08.215Z","run","s0306","52919","1","54203","1284","1","s0306","1","","","","","","","","","","","","","",""
"37","2026-05-29T13:19:09.501Z","run","s0305","54203","9","55047","844","9","s0305","1","","","","","","","","","","","","","",""
"38","2026-05-29T13:19:10.333Z","run","s0308","55047","3","56555","1508","3","s0308","1","","","","","","","","","","","","","",""
"39","2026-05-29T13:19:11.851Z","run","s0306","56555","1","57723","1168","1","s0306","1","","","","","","","","","","","","","",""
"40","2026-05-29T13:19:13.019Z","run","s0303","57723","7","59701","1978","7","s0303","1","","","","","","","","","","","","","",""
"41","2026-05-29T13:19:14.986Z","run","s0305","59701","9","60479","778","9","s0305","1","","","","","","","","","","","","","",""
"42","2026-05-29T13:19:15.762Z","run","s0307","60479","2","62293","1814","2","s0307","1","","","","","","","","","","","","","",""
"43","2026-05-29T13:19:17.593Z","run","s0309","62293","4","63611","1318","4","s0309","1","","","","","","","","","","","","","",""
"44","2026-05-29T13:19:18.907Z","run","s0308","63611","3","64728","1117","3","s0308","1","","","","","","","","","","","","","",""
"45","2026-05-29T13:19:20.024Z","run","s0306","64728","1","65680","952","1","s0306","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","630","0.0-0.0","portrait-primary","3","iPhone","en-GB","60","7.1.2","3.90.0","351400","1","1"
