"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-26T17:41:35.469Z","run","s0501","16710","8","18587","1877","8","s0501","1","","","","","","","","","","","","","",""
"2","2026-05-26T17:41:37.348Z","run","s0501","18587","8","19238","651","8","s0501","1","","","","","","","","","","","","","",""
"3","2026-05-26T17:41:37.999Z","run","s0504","19238","2","20898","1660","2","s0504","1","","","","","","","","","","","","","",""
"4","2026-05-26T17:41:39.660Z","run","s0503","20898","1","22199","1301","1","s0503","1","","","","","","","","","","","","","",""
"5","2026-05-26T17:41:40.960Z","run","s0506","22199","4","23459","1260","4","s0506","1","","","","","","","","","","","","","",""
"6","2026-05-26T17:41:42.221Z","run","s0505","23459","3","24944","1485","3","s0505","1","","","","","","","","","","","","","",""
"7","2026-05-26T17:41:43.709Z","run","s0506","24944","4","26354","1410","4","s0506","1","","","","","","","","","","","","","",""
"8","2026-05-26T17:41:45.116Z","run","s0503","26354","1","27639","1285","1","s0503","1","","","","","","","","","","","","","",""
"9","2026-05-26T17:41:46.400Z","run","s0502","27639","9","28882","1243","9","s0502","1","","","","","","","","","","","","","",""
"10","2026-05-26T17:41:47.643Z","run","s0503","28882","1","29842","960","1","s0503","1","","","","","","","","","","","","","",""
"11","2026-05-26T17:41:48.603Z","run","s0502","29842","9","30676","834","9","s0502","1","","","","","","","","","","","","","",""
"12","2026-05-26T17:41:49.437Z","run","s0503","30676","1","31352","676","1","s0503","1","","","","","","","","","","","","","",""
"13","2026-05-26T17:41:50.112Z","run","s0506","31352","4","32520","1168","4","s0506","1","","","","","","","","","","","","","",""
"14","2026-05-26T17:41:51.280Z","run","s0509","32520","7","34622","2102","7","s0509","1","","","","","","","","","","","","","",""
"15","2026-05-26T17:41:53.383Z","run","s0505","34622","3","36049","1427","3","s0505","1","","","","","","","","","","","","","",""
"16","2026-05-26T17:41:54.809Z","run","s0501","36049","8","37317","1268","8","s0501","1","","","","","","","","","","","","","",""
"17","2026-05-26T17:41:56.079Z","run","s0501","37317","8","38202","885","8","s0501","1","","","","","","","","","","","","","",""
