"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-28T10:32:47.076Z","run","s0201","8587","7","9946","1359","7","s0201","1","","","","","","","","","","","","","",""
"2","2026-05-28T10:32:48.441Z","run","s0201","9946","7","10627","681","7","s0201","1","","","","","","","","","","","","","",""
"3","2026-05-28T10:32:49.124Z","run","s0204","10627","1","11916","1289","1","s0204","1","","","","","","","","","","","","","",""
"4","2026-05-28T10:32:50.407Z","run","s0203","11916","9","13573","1657","9","s0203","1","","","","","","","","","","","","","",""
"5","2026-05-28T10:32:52.076Z","run","s0206","13573","3","15148","1575","3","s0206","1","","","","","","","","","","","","","",""
"6","2026-05-28T10:32:53.642Z","run","s0205","15148","2","16606","1458","2","s0205","1","","","","","","","","","","","","","",""
"7","2026-05-28T10:32:55.110Z","run","s0206","16606","3","17890","1284","3","s0206","1","","","","","","","","","","","","","",""
"8","2026-05-28T10:32:56.395Z","run","s0203","17890","9","19207","1317","9","s0203","1","","","","","","","","","","","","","",""
"9","2026-05-28T10:32:57.712Z","run","s0202","19207","8","20800","1593","8","s0202","1","","","","","","","","","","","","","",""
"10","2026-05-28T10:32:59.293Z","run","s0203","20800","9","21592","792","9","s0203","1","","","","","","","","","","","","","",""
"11","2026-05-28T10:33:00.095Z","run","s0202","21592","8","22325","733","8","s0202","1","","","","","","","","","","","","","",""
"12","2026-05-28T10:33:00.829Z","run","s0203","22325","9","22944","619","9","s0203","1","","","","","","","","","","","","","",""
"13","2026-05-28T10:33:01.446Z","run","s0206","22944","2","24364","1420","3","s0205","0","","","","","","","","","","","","","",""
"14","2026-05-28T10:33:02.861Z","run","s0209","24364","6","26018","1654","6","s0209","1","","","","","","","","","","","","","",""
"15","2026-05-28T10:33:04.513Z","run","s0205","26018","2","27659","1641","2","s0205","1","","","","","","","","","","","","","",""
"16","2026-05-28T10:33:06.165Z","run","s0201","27659","7","29052","1393","7","s0201","1","","","","","","","","","","","","","",""
"17","2026-05-28T10:33:07.547Z","run","s0201","29052","7","29584","532","7","s0201","1","","","","","","","","","","","","","",""
"18","2026-05-28T10:33:08.079Z","run","s0209","29584","6","31032","1448","6","s0209","1","","","","","","","","","","","","","",""
"19","2026-05-28T10:33:09.532Z","run","s0202","31032","8","31904","872","8","s0202","1","","","","","","","","","","","","","",""
"20","2026-05-28T10:33:10.397Z","run","s0205","31904","2","33920","2016","2","s0205","1","","","","","","","","","","","","","",""
"21","2026-05-28T10:33:12.416Z","run","s0207","33920","4","35319","1399","4","s0207","1","","","","","","","","","","","","","",""
"22","2026-05-28T10:33:13.816Z","run","s0205","35319","2","36477","1158","2","s0205","1","","","","","","","","","","","","","",""
"23","2026-05-28T10:33:14.968Z","run","s0202","36477","8","37573","1096","8","s0202","1","","","","","","","","","","","","","",""
"24","2026-05-28T10:33:16.066Z","run","s0201","37573","7","38755","1182","7","s0201","1","","","","","","","","","","","","","",""
"25","2026-05-28T10:33:17.249Z","run","s0208","38755","5","40823","2068","5","s0208","1","","","","","","","","","","","","","",""
"26","2026-05-28T10:33:19.317Z","run","s0208","40823","5","41566","743","5","s0208","1","","","","","","","","","","","","","",""
"27","2026-05-28T10:33:20.068Z","run","s0203","41566","9","42956","1390","9","s0203","1","","","","","","","","","","","","","",""
"28","2026-05-28T10:33:21.451Z","run","s0209","42956","6","45098","2142","6","s0209","1","","","","","","","","","","","","","",""
"29","2026-05-28T10:33:23.603Z","run","s0209","45098","6","45682","584","6","s0209","1","","","","","","","","","","","","","",""
"30","2026-05-28T10:33:24.187Z","run","s0209","45682","6","46349","667","6","s0209","1","","","","","","","","","","","","","",""
"31","2026-05-28T10:33:24.852Z","run","s0207","46349","4","47676","1327","4","s0207","1","","","","","","","","","","","","","",""
"32","2026-05-28T10:33:26.169Z","run","s0202","47676","8","48883","1207","8","s0202","1","","","","","","","","","","","","","",""
"33","2026-05-28T10:33:27.373Z","run","s0206","48883","3","50575","1692","3","s0206","1","","","","","","","","","","","","","",""
"34","2026-05-28T10:33:29.071Z","run","s0204","50575","1","52300","1725","1","s0204","1","","","","","","","","","","","","","",""
"35","2026-05-28T10:33:30.806Z","run","s0203","52300","9","53298","998","9","s0203","1","","","","","","","","","","","","","",""
"36","2026-05-28T10:33:31.790Z","run","s0206","53298","3","55134","1836","3","s0206","1","","","","","","","","","","","","","",""
"37","2026-05-28T10:33:33.640Z","run","s0205","55134","2","56998","1864","2","s0205","1","","","","","","","","","","","","","",""
"38","2026-05-28T10:33:35.488Z","run","s0208","56998","5","58732","1734","5","s0208","1","","","","","","","","","","","","","",""
"39","2026-05-28T10:33:37.222Z","run","s0206","58732","3","59978","1246","3","s0206","1","","","","","","","","","","","","","",""
"40","2026-05-28T10:33:38.472Z","run","s0203","59978","9","60899","921","9","s0203","1","","","","","","","","","","","","","",""
"41","2026-05-28T10:33:39.390Z","run","s0205","60899","2","62254","1355","2","s0205","1","","","","","","","","","","","","","",""
"42","2026-05-28T10:33:40.758Z","run","s0207","62254","4","63437","1183","4","s0207","1","","","","","","","","","","","","","",""
"43","2026-05-28T10:33:41.942Z","run","s0209","63437","6","64771","1334","6","s0209","1","","","","","","","","","","","","","",""
"44","2026-05-28T10:33:43.275Z","run","s0208","64771","5","66001","1230","5","s0208","1","","","","","","","","","","","","","",""
"45","2026-05-28T10:33:44.492Z","run","s0206","66001","3","67646","1645","3","s0206","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","627","0.0-0.0","portrait-primary","3","iPhone","en-GB","60","7.1.2","3.90.0","351399","1","1"
