"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-22T13:47:18.448Z","baseline","3","46204","3","47221","1017","null","null","1","","","","","","","","","","","","","",""
"2","2026-05-22T13:47:19.982Z","baseline","8","47721","8","48738","1017","null","null","1","","","","","","","","","","","","","",""
"3","2026-05-22T13:47:21.484Z","baseline","6","49255","6","50023","768","null","null","1","","","","","","","","","","","","","",""
"4","2026-05-22T13:47:22.770Z","baseline","2","50523","2","51406","883","null","null","1","","","","","","","","","","","","","",""
"5","2026-05-22T13:47:24.147Z","baseline","5","51907","5","52740","833","null","null","1","","","","","","","","","","","","","",""
"6","2026-05-22T13:47:25.486Z","baseline","1","53241","1","53958","717","null","null","1","","","","","","","","","","","","","",""
"7","2026-05-22T13:47:26.703Z","baseline","4","54458","4","55175","717","null","null","1","","","","","","","","","","","","","",""
"8","2026-05-22T13:47:27.915Z","baseline","9","55675","9","56392","717","null","null","1","","","","","","","","","","","","","",""
"9","2026-05-22T13:47:29.138Z","baseline","7","56892","7","57693","801","null","null","1","","","","","","","","","","","","","",""
"1","2026-05-22T13:47:52.279Z","practice","p02","80038","2","81705","1667","2","p02","1","","","","","","","","","","","","","",""
"2","2026-05-22T13:47:54.461Z","practice","p01","82206","1","83640","1434","1","p01","1","","","","","","","","","","","","","",""
"3","2026-05-22T13:47:56.385Z","practice","p04","84140","4","85724","1584","4","p04","1","","","","","","","","","","","","","",""
"4","2026-05-22T13:47:58.466Z","practice","p08","86224","8","87608","1384","8","p08","1","","","","","","","","","","","","","",""
"5","2026-05-22T13:48:00.348Z","practice","p06","88109","6","90110","2001","6","p06","1","","","","","","","","","","","","","",""
"6","2026-05-22T13:48:02.850Z","practice","p07","90610","7","92294","1684","7","p07","1","","","","","","","","","","","","","",""
"7","2026-05-22T13:48:05.034Z","practice","p09","92794","9","94145","1351","9","p09","1","","","","","","","","","","","","","",""
"8","2026-05-22T13:48:06.890Z","practice","p05","94645","5","96313","1668","5","p05","1","","","","","","","","","","","","","",""
"9","2026-05-22T13:48:09.067Z","practice","p03","96813","3","99114","2301","3","p03","1","","","","","","","","","","","","","",""
"1","2026-05-22T13:48:19.471Z","run","s0302","106735","6","108803","2068","6","s0302","1","","","","","","","","","","","","","",""
"2","2026-05-22T13:48:21.542Z","run","s0305","108803","9","110720","1917","9","s0305","1","","","","","","","","","","","","","",""
"3","2026-05-22T13:48:23.459Z","run","s0301","110720","5","112455","1735","5","s0301","1","","","","","","","","","","","","","",""
"4","2026-05-22T13:48:25.198Z","run","s0308","112455","3","114305","1850","3","s0308","1","","","","","","","","","","","","","",""
"5","2026-05-22T13:48:27.049Z","run","s0302","114305","6","116006","1701","6","s0302","1","","","","","","","","","","","","","",""
"6","2026-05-22T13:48:28.750Z","run","s0304","116006","8","117991","1985","8","s0304","1","","","","","","","","","","","","","",""
"7","2026-05-22T13:48:30.730Z","run","s0307","117991","2","119408","1417","2","s0307","1","","","","","","","","","","","","","",""
"8","2026-05-22T13:48:32.153Z","run","s0309","119408","4","120759","1351","4","s0309","1","","","","","","","","","","","","","",""
"9","2026-05-22T13:48:33.503Z","run","s0304","120759","8","123077","2318","8","s0304","1","","","","","","","","","","","","","",""
"10","2026-05-22T13:48:35.816Z","run","s0303","123077","7","124727","1650","7","s0303","1","","","","","","","","","","","","","",""
"11","2026-05-22T13:48:37.472Z","run","s0303","124727","7","125895","1168","7","s0303","1","","","","","","","","","","","","","",""
"12","2026-05-22T13:48:38.634Z","run","s0309","125895","4","127596","1701","4","s0309","1","","","","","","","","","","","","","",""
"13","2026-05-22T13:48:40.339Z","run","s0308","127596","3","129363","1767","3","s0308","1","","","","","","","","","","","","","",""
"14","2026-05-22T13:48:42.108Z","run","s0303","129363","7","130931","1568","7","s0303","1","","","","","","","","","","","","","",""
"15","2026-05-22T13:48:43.670Z","run","s0301","130931","5","132615","1684","5","s0301","1","","","","","","","","","","","","","",""
"16","2026-05-22T13:48:45.354Z","run","s0305","132615","9","134366","1751","9","s0305","1","","","","","","","","","","","","","",""
"17","2026-05-22T13:48:47.110Z","run","s0306","134366","1","135866","1500","1","s0306","1","","","","","","","","","","","","","",""
"18","2026-05-22T13:48:48.608Z","run","s0304","135866","8","137017","1151","8","s0304","1","","","","","","","","","","","","","",""
"19","2026-05-22T13:48:49.757Z","run","s0305","137017","9","138868","1851","9","s0305","1","","","","","","","","","","","","","",""
"20","2026-05-22T13:48:51.612Z","run","s0304","138868","8","140002","1134","8","s0304","1","","","","","","","","","","","","","",""
"21","2026-05-22T13:48:52.741Z","run","s0302","140002","6","141936","1934","6","s0302","1","","","","","","","","","","","","","",""
"22","2026-05-22T13:48:54.681Z","run","s0309","141936","4","143287","1351","4","s0309","1","","","","","","","","","","","","","",""
"23","2026-05-22T13:48:56.032Z","run","s0302","143287","1","144271","984","6","s0306","0","","","","","","","","","","","","","",""
"24","2026-05-22T13:48:57.010Z","run","s0303","144271","7","146722","2451","7","s0303","1","","","","","","","","","","","","","",""
"25","2026-05-22T13:48:59.465Z","run","s0309","146722","4","148206","1484","4","s0309","1","","","","","","","","","","","","","",""
"26","2026-05-22T13:49:00.951Z","run","s0301","148206","5","149607","1401","5","s0301","1","","","","","","","","","","","","","",""
"27","2026-05-22T13:49:02.361Z","run","s0305","149607","9","150558","951","9","s0305","1","","","","","","","","","","","","","",""
"28","2026-05-22T13:49:03.302Z","run","s0306","150558","1","151691","1133","1","s0306","1","","","","","","","","","","","","","",""
"29","2026-05-22T13:49:04.431Z","run","s0305","151691","9","152609","918","9","s0305","1","","","","","","","","","","","","","",""
"30","2026-05-22T13:49:05.353Z","run","s0304","152609","8","153642","1033","8","s0304","1","","","","","","","","","","","","","",""
"31","2026-05-22T13:49:06.381Z","run","s0307","153642","2","155226","1584","2","s0307","1","","","","","","","","","","","","","",""
"32","2026-05-22T13:49:07.971Z","run","s0301","155226","5","156494","1268","5","s0301","1","","","","","","","","","","","","","",""
"33","2026-05-22T13:49:09.238Z","run","s0309","156494","4","158128","1634","4","s0309","1","","","","","","","","","","","","","",""
"34","2026-05-22T13:49:10.867Z","run","s0309","158128","4","159596","1468","4","s0309","1","","","","","","","","","","","","","",""
"35","2026-05-22T13:49:12.339Z","run","s0306","159596","1","160663","1067","1","s0306","1","","","","","","","","","","","","","",""
"36","2026-05-22T13:49:13.402Z","run","s0306","160663","1","162297","1634","1","s0306","1","","","","","","","","","","","","","",""
"37","2026-05-22T13:49:15.041Z","run","s0305","162297","9","163214","917","9","s0305","1","","","","","","","","","","","","","",""
"38","2026-05-22T13:49:15.959Z","run","s0301","163214","5","164915","1701","5","s0301","1","","","","","","","","","","","","","",""
"39","2026-05-22T13:49:17.654Z","run","s0303","164915","7","166716","1801","7","s0303","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","903","0.0-0.0","portrait-primary","1.875","Linux armv81","en-NL","60","7.1.2","3.90.0","999","1","1"
