"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-27T14:41:57.645Z","run","s0401","26100","1","28430","2330","1","s0401","1","","","","","","","","","","","","","",""
"2","2026-05-27T14:41:59.993Z","run","s0401","28430","1","30177","1747","1","s0401","1","","","","","","","","","","","","","",""
"3","2026-05-27T14:42:01.738Z","run","s0404","30177","4","31808","1631","4","s0404","1","","","","","","","","","","","","","",""
"4","2026-05-27T14:42:03.369Z","run","s0403","31808","3","34104","2296","3","s0403","1","","","","","","","","","","","","","",""
"5","2026-05-27T14:42:05.666Z","run","s0406","34104","6","36401","2297","6","s0406","1","","","","","","","","","","","","","",""
"6","2026-05-27T14:42:07.962Z","run","s0405","36401","5","37815","1414","5","s0405","1","","","","","","","","","","","","","",""
"7","2026-05-27T14:42:09.376Z","run","s0406","37815","6","39678","1863","6","s0406","1","","","","","","","","","","","","","",""
"8","2026-05-27T14:42:11.239Z","run","s0403","39678","3","41126","1448","3","s0403","1","","","","","","","","","","","","","",""
"9","2026-05-27T14:42:12.687Z","run","s0402","41126","2","42507","1381","2","s0402","1","","","","","","","","","","","","","",""
"10","2026-05-27T14:42:14.068Z","run","s0403","42507","3","44254","1747","3","s0403","1","","","","","","","","","","","","","",""
"11","2026-05-27T14:42:15.815Z","run","s0402","44254","2","45535","1281","2","s0402","1","","","","","","","","","","","","","",""
"12","2026-05-27T14:42:17.096Z","run","s0403","45535","3","46950","1415","3","s0403","1","","","","","","","","","","","","","",""
"13","2026-05-27T14:42:18.511Z","run","s0406","46950","6","48414","1464","6","s0406","1","","","","","","","","","","","","","",""
"14","2026-05-27T14:42:19.975Z","run","s0409","48414","9","49762","1348","9","s0409","1","","","","","","","","","","","","","",""
"15","2026-05-27T14:42:21.323Z","run","s0405","49762","5","51559","1797","5","s0405","1","","","","","","","","","","","","","",""
"16","2026-05-27T14:42:23.119Z","run","s0401","51559","1","53140","1581","1","s0401","1","","","","","","","","","","","","","",""
"17","2026-05-27T14:42:24.701Z","run","s0401","53140","1","53772","632","1","s0401","1","","","","","","","","","","","","","",""
"18","2026-05-27T14:42:25.333Z","run","s0409","53772","9","55553","1781","9","s0409","1","","","","","","","","","","","","","",""
"19","2026-05-27T14:42:27.113Z","run","s0402","55553","2","57000","1447","2","s0402","1","","","","","","","","","","","","","",""
"20","2026-05-27T14:42:28.561Z","run","s0405","57000","5","58981","1981","5","s0405","1","","","","","","","","","","","","","",""
"21","2026-05-27T14:42:30.542Z","run","s0407","58981","7","60661","1680","7","s0407","1","","","","","","","","","","","","","",""
"22","2026-05-27T14:42:32.222Z","run","s0405","60661","5","62825","2164","5","s0405","1","","","","","","","","","","","","","",""
"23","2026-05-27T14:42:34.385Z","run","s0402","62825","2","64289","1464","2","s0402","1","","","","","","","","","","","","","",""
"24","2026-05-27T14:42:35.849Z","run","s0401","64289","1","65471","1182","1","s0401","1","","","","","","","","","","","","","",""
"25","2026-05-27T14:42:37.031Z","run","s0408","65471","8","67351","1880","8","s0408","1","","","","","","","","","","","","","",""
"26","2026-05-27T14:42:38.912Z","run","s0408","67351","8","67917","566","8","s0408","1","","","","","","","","","","","","","",""
"27","2026-05-27T14:42:39.477Z","run","s0403","67917","3","69398","1481","3","s0403","1","","","","","","","","","","","","","",""
"28","2026-05-27T14:42:40.959Z","run","s0409","69398","9","71062","1664","9","s0409","1","","","","","","","","","","","","","",""
"29","2026-05-27T14:42:42.623Z","run","s0409","71062","9","71562","500","9","s0409","1","","","","","","","","","","","","","",""
"30","2026-05-27T14:42:43.122Z","run","s0409","71562","9","72261","699","9","s0409","1","","","","","","","","","","","","","",""
"31","2026-05-27T14:42:43.821Z","run","s0407","72261","7","73808","1547","7","s0407","1","","","","","","","","","","","","","",""
"32","2026-05-27T14:42:45.368Z","run","s0402","73808","2","75855","2047","2","s0402","1","","","","","","","","","","","","","",""
"33","2026-05-27T14:42:47.415Z","run","s0406","75855","6","77486","1631","6","s0406","1","","","","","","","","","","","","","",""
"34","2026-05-27T14:42:49.046Z","run","s0404","77486","4","79133","1647","4","s0404","1","","","","","","","","","","","","","",""
"35","2026-05-27T14:42:50.694Z","run","s0403","79133","3","80615","1482","3","s0403","1","","","","","","","","","","","","","",""
"36","2026-05-27T14:42:52.175Z","run","s0406","80615","6","82562","1947","6","s0406","1","","","","","","","","","","","","","",""
"37","2026-05-27T14:42:54.122Z","run","s0405","82562","5","84109","1547","5","s0405","1","","","","","","","","","","","","","",""
"38","2026-05-27T14:42:55.669Z","run","s0408","84109","8","85457","1348","8","s0408","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","643","0.0-0.0","portrait-primary","3","iPhone","en-US","60","7.1.2","3.90.0","351376","1","1"
