"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-23T13:20:42.070Z","run","s0301","15250","9","17485","2235","9","s0301","1","","","","","","","","","","","","","",""
"2","2026-05-23T13:20:44.321Z","run","s0301","17485","9","18703","1218","9","s0301","1","","","","","","","","","","","","","",""
"3","2026-05-23T13:20:45.537Z","run","s0304","18703","3","20571","1868","3","s0304","1","","","","","","","","","","","","","",""
"4","2026-05-23T13:20:47.406Z","run","s0303","20571","2","22132","1561","2","s0303","1","","","","","","","","","","","","","",""
"5","2026-05-23T13:20:48.958Z","run","s0306","22132","5","23625","1493","5","s0306","1","","","","","","","","","","","","","",""
"6","2026-05-23T13:20:50.459Z","run","s0305","23625","4","25474","1849","4","s0305","1","","","","","","","","","","","","","",""
"7","2026-05-23T13:20:52.311Z","run","s0306","25474","5","26925","1451","5","s0306","1","","","","","","","","","","","","","",""
"8","2026-05-23T13:20:53.761Z","run","s0303","26925","2","28846","1921","2","s0303","1","","","","","","","","","","","","","",""
"9","2026-05-23T13:20:55.678Z","run","s0302","28846","1","30128","1282","1","s0302","1","","","","","","","","","","","","","",""
"10","2026-05-23T13:20:56.965Z","run","s0303","30128","2","31780","1652","2","s0303","1","","","","","","","","","","","","","",""
"11","2026-05-23T13:20:58.613Z","run","s0302","31780","1","32896","1116","1","s0302","1","","","","","","","","","","","","","",""
"12","2026-05-23T13:20:59.732Z","run","s0303","32896","2","33964","1068","2","s0303","1","","","","","","","","","","","","","",""
"13","2026-05-23T13:21:00.798Z","run","s0306","33964","5","35432","1468","5","s0306","1","","","","","","","","","","","","","",""
"14","2026-05-23T13:21:02.269Z","run","s0309","35432","8","36926","1494","8","s0309","1","","","","","","","","","","","","","",""
"15","2026-05-23T13:21:03.750Z","run","s0305","36926","4","38609","1683","4","s0305","1","","","","","","","","","","","","","",""
"16","2026-05-23T13:21:05.434Z","run","s0301","38609","3","39824","1215","9","s0304","0","","","","","","","","","","","","","",""
"17","2026-05-23T13:21:06.652Z","run","s0301","39824","9","40619","795","9","s0301","1","","","","","","","","","","","","","",""
"18","2026-05-23T13:21:07.454Z","run","s0309","40619","8","42353","1734","8","s0309","1","","","","","","","","","","","","","",""
"19","2026-05-23T13:21:09.190Z","run","s0302","42353","1","43446","1093","1","s0302","1","","","","","","","","","","","","","",""
"20","2026-05-23T13:21:10.271Z","run","s0305","43446","4","44872","1426","4","s0305","1","","","","","","","","","","","","","",""
"21","2026-05-23T13:21:11.707Z","run","s0307","44872","6","47441","2569","6","s0307","1","","","","","","","","","","","","","",""
"22","2026-05-23T13:21:14.280Z","run","s0305","47441","4","48808","1367","4","s0305","1","","","","","","","","","","","","","",""
"23","2026-05-23T13:21:15.645Z","run","s0302","48808","1","49859","1051","1","s0302","1","","","","","","","","","","","","","",""
"24","2026-05-23T13:21:16.694Z","run","s0301","49859","9","50993","1134","9","s0301","1","","","","","","","","","","","","","",""
"25","2026-05-23T13:21:17.829Z","run","s0308","50993","7","52728","1735","7","s0308","1","","","","","","","","","","","","","",""
"26","2026-05-23T13:21:19.564Z","run","s0308","52728","7","53345","617","7","s0308","1","","","","","","","","","","","","","",""
"27","2026-05-23T13:21:20.183Z","run","s0303","53345","2","54697","1352","2","s0303","1","","","","","","","","","","","","","",""
"28","2026-05-23T13:21:21.533Z","run","s0309","54697","8","56248","1551","8","s0309","1","","","","","","","","","","","","","",""
"29","2026-05-23T13:21:23.082Z","run","s0309","56248","8","56881","633","8","s0309","1","","","","","","","","","","","","","",""
"30","2026-05-23T13:21:23.718Z","run","s0309","56881","8","57582","701","8","s0309","1","","","","","","","","","","","","","",""
"31","2026-05-23T13:21:24.417Z","run","s0307","57582","6","59102","1520","6","s0307","1","","","","","","","","","","","","","",""
"32","2026-05-23T13:21:25.934Z","run","s0302","59102","1","60334","1232","1","s0302","1","","","","","","","","","","","","","",""
"33","2026-05-23T13:21:27.168Z","run","s0306","60334","5","61735","1401","5","s0306","1","","","","","","","","","","","","","",""
"34","2026-05-23T13:21:28.570Z","run","s0304","61735","3","63204","1469","3","s0304","1","","","","","","","","","","","","","",""
"35","2026-05-23T13:21:30.039Z","run","s0303","63204","2","64237","1033","2","s0303","1","","","","","","","","","","","","","",""
"36","2026-05-23T13:21:31.073Z","run","s0306","64237","5","65621","1384","5","s0306","1","","","","","","","","","","","","","",""
"37","2026-05-23T13:21:32.455Z","run","s0305","65621","4","66989","1368","4","s0305","1","","","","","","","","","","","","","",""
"38","2026-05-23T13:21:33.823Z","run","s0308","66989","7","68456","1467","7","s0308","1","","","","","","","","","","","","","",""
"39","2026-05-23T13:21:35.291Z","run","s0306","68456","5","69891","1435","5","s0306","1","","","","","","","","","","","","","",""
"40","2026-05-23T13:21:36.726Z","run","s0303","69891","2","70977","1086","2","s0303","1","","","","","","","","","","","","","",""
"41","2026-05-23T13:21:37.809Z","run","s0305","70977","4","72178","1201","4","s0305","1","","","","","","","","","","","","","",""
"42","2026-05-23T13:21:39.011Z","run","s0307","72178","6","73894","1716","6","s0307","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","663","0.0-0.0","portrait-primary","3","iPhone","en-GB","60","7.1.2","3.90.0","351399","1","1"
