"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-27T09:03:26.310Z","run","s0101","14690","1","17224","2534","1","s0101","1","","","","","","","","","","","","","",""
"2","2026-05-27T09:03:28.861Z","run","s0101","17224","1","18625","1401","1","s0101","1","","","","","","","","","","","","","",""
"3","2026-05-27T09:03:30.277Z","run","s0104","18625","1","18825","200","4","s0101","0","","","","","","","","","","","","","",""
"4","2026-05-27T09:03:30.460Z","run","s0103","18825","1","18991","166","3","s0101","0","","","","","","","","","","","","","",""
"5","2026-05-27T09:03:30.611Z","run","s0106","18991","6","21292","2301","6","s0106","1","","","","","","","","","","","","","",""
"6","2026-05-27T09:03:32.945Z","run","s0105","21292","5","22797","1505","5","s0105","1","","","","","","","","","","","","","",""
"7","2026-05-27T09:03:34.445Z","run","s0106","22797","6","24760","1963","6","s0106","1","","","","","","","","","","","","","",""
"8","2026-05-27T09:03:36.396Z","run","s0103","24760","3","26828","2068","3","s0103","1","","","","","","","","","","","","","",""
"9","2026-05-27T09:03:38.463Z","run","s0102","26828","2","28328","1500","2","s0102","1","","","","","","","","","","","","","",""
"10","2026-05-27T09:03:39.964Z","run","s0103","28328","3","29795","1467","3","s0103","1","","","","","","","","","","","","","",""
"11","2026-05-27T09:03:41.448Z","run","s0102","29795","2","31129","1334","2","s0102","1","","","","","","","","","","","","","",""
"12","2026-05-27T09:03:42.765Z","run","s0103","31129","3","32496","1367","3","s0103","1","","","","","","","","","","","","","",""
"13","2026-05-27T09:03:44.132Z","run","s0106","32496","6","33764","1268","6","s0106","1","","","","","","","","","","","","","",""
"14","2026-05-27T09:03:45.416Z","run","s0109","33764","9","35631","1867","9","s0109","1","","","","","","","","","","","","","",""
"15","2026-05-27T09:03:47.266Z","run","s0105","35631","5","37302","1671","5","s0105","1","","","","","","","","","","","","","",""
"16","2026-05-27T09:03:48.934Z","run","s0101","37302","1","38602","1300","1","s0101","1","","","","","","","","","","","","","",""
"17","2026-05-27T09:03:50.251Z","run","s0101","38602","1","39899","1297","1","s0101","1","","","","","","","","","","","","","",""
"18","2026-05-27T09:03:51.535Z","run","s0109","39899","9","42167","2268","9","s0109","1","","","","","","","","","","","","","",""
"19","2026-05-27T09:03:53.803Z","run","s0102","42167","2","43700","1533","2","s0102","1","","","","","","","","","","","","","",""
"20","2026-05-27T09:03:55.353Z","run","s0105","43700","5","45271","1571","5","s0105","1","","","","","","","","","","","","","",""
"21","2026-05-27T09:03:56.920Z","run","s0107","45271","7","47202","1931","7","s0107","1","","","","","","","","","","","","","",""
"22","2026-05-27T09:03:58.854Z","run","s0105","47202","5","48736","1534","5","s0105","1","","","","","","","","","","","","","",""
"23","2026-05-27T09:04:00.371Z","run","s0102","48736","2","50203","1467","2","s0102","1","","","","","","","","","","","","","",""
"24","2026-05-27T09:04:01.838Z","run","s0101","50203","1","51655","1452","1","s0101","1","","","","","","","","","","","","","",""
"25","2026-05-27T09:04:03.289Z","run","s0108","51655","8","53755","2100","8","s0108","1","","","","","","","","","","","","","",""
"26","2026-05-27T09:04:05.390Z","run","s0108","53755","8","54371","616","8","s0108","1","","","","","","","","","","","","","",""
"27","2026-05-27T09:04:06.043Z","run","s0103","54371","3","56158","1787","3","s0103","1","","","","","","","","","","","","","",""
"28","2026-05-27T09:04:07.790Z","run","s0109","56158","9","57408","1250","9","s0109","1","","","","","","","","","","","","","",""
"29","2026-05-27T09:04:09.058Z","run","s0109","57408","9","58439","1031","9","s0109","1","","","","","","","","","","","","","",""
"30","2026-05-27T09:04:10.075Z","run","s0109","58439","9","59573","1134","9","s0109","1","","","","","","","","","","","","","",""
"31","2026-05-27T09:04:11.208Z","run","s0107","59573","7","61640","2067","7","s0107","1","","","","","","","","","","","","","",""
"32","2026-05-27T09:04:13.293Z","run","s0102","61640","2","62808","1168","2","s0102","1","","","","","","","","","","","","","",""
"33","2026-05-27T09:04:14.443Z","run","s0106","62808","6","64408","1600","6","s0106","1","","","","","","","","","","","","","",""
"34","2026-05-27T09:04:16.044Z","run","s0104","64408","4","66094","1686","4","s0104","1","","","","","","","","","","","","","",""
"35","2026-05-27T09:04:17.727Z","run","s0103","66094","3","67776","1682","3","s0103","1","","","","","","","","","","","","","",""
"36","2026-05-27T09:04:19.447Z","run","s0106","67776","6","69477","1701","6","s0106","1","","","","","","","","","","","","","",""
"37","2026-05-27T09:04:21.113Z","run","s0105","69477","5","70977","1500","5","s0105","1","","","","","","","","","","","","","",""
"38","2026-05-27T09:04:22.630Z","run","s0108","70977","8","72578","1601","8","s0108","1","","","","","","","","","","","","","",""
"39","2026-05-27T09:04:24.230Z","run","s0106","72578","6","73945","1367","6","s0106","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","667","0.0-0.0","portrait-primary","2","MacIntel","en-GB","60","7.1.2","3.90.0","351550","1","1"
