"trial.index","trial.UTCdate","trial.type","stim.type","stim.onset","response.type","response.onset","response.RT","stim.key","response.key","response.correct","trial_type","trial_index","time_elapsed","internal_node_id","sys.orientation","sys.pixel_ratio","sys.browser_os","sys.language","sys.fps","module.jsPsych.version","module.Phaser.version","participant_id","session.beepnum","session.testday"
"1","2026-05-24T12:55:38.658Z","run","s0301","9042","4","10994","1952","4","s0301","1","","","","","","","","","","","","","",""
"2","2026-05-24T12:55:40.627Z","run","s0301","10994","4","11677","683","4","s0301","1","","","","","","","","","","","","","",""
"3","2026-05-24T12:55:41.309Z","run","s0304","11677","7","14297","2620","7","s0304","1","","","","","","","","","","","","","",""
"4","2026-05-24T12:55:43.928Z","run","s0303","14297","6","15783","1486","6","s0303","1","","","","","","","","","","","","","",""
"5","2026-05-24T12:55:45.413Z","run","s0306","15783","9","18150","2367","9","s0306","1","","","","","","","","","","","","","",""
"6","2026-05-24T12:55:47.782Z","run","s0305","18150","8","19833","1683","8","s0305","1","","","","","","","","","","","","","",""
"7","2026-05-24T12:55:49.466Z","run","s0306","19833","9","22119","2286","9","s0306","1","","","","","","","","","","","","","",""
"8","2026-05-24T12:55:51.751Z","run","s0303","22119","6","23698","1579","6","s0303","1","","","","","","","","","","","","","",""
"9","2026-05-24T12:55:53.319Z","run","s0302","23698","5","25239","1541","5","s0302","1","","","","","","","","","","","","","",""
"10","2026-05-24T12:55:54.870Z","run","s0303","25239","6","27273","2034","6","s0303","1","","","","","","","","","","","","","",""
"11","2026-05-24T12:55:56.905Z","run","s0302","27273","5","29503","2230","5","s0302","1","","","","","","","","","","","","","",""
"12","2026-05-24T12:55:59.123Z","run","s0303","29503","6","31180","1677","6","s0303","1","","","","","","","","","","","","","",""
"13","2026-05-24T12:56:00.798Z","run","s0306","31180","9","32777","1597","9","s0306","1","","","","","","","","","","","","","",""
"14","2026-05-24T12:56:02.410Z","run","s0309","32777","3","34380","1603","3","s0309","1","","","","","","","","","","","","","",""
"15","2026-05-24T12:56:04.011Z","run","s0305","34380","8","35732","1352","8","s0305","1","","","","","","","","","","","","","",""
"16","2026-05-24T12:56:05.362Z","run","s0301","35732","4","37415","1683","4","s0301","1","","","","","","","","","","","","","",""
"17","2026-05-24T12:56:07.047Z","run","s0301","37415","4","38433","1018","4","s0301","1","","","","","","","","","","","","","",""
"18","2026-05-24T12:56:08.064Z","run","s0309","38433","3","39901","1468","3","s0309","1","","","","","","","","","","","","","",""
"19","2026-05-24T12:56:09.532Z","run","s0302","39901","5","41469","1568","5","s0302","1","","","","","","","","","","","","","",""
"20","2026-05-24T12:56:11.100Z","run","s0305","41469","8","42753","1284","8","s0305","1","","","","","","","","","","","","","",""
"21","2026-05-24T12:56:12.385Z","run","s0307","42753","1","44014","1261","1","s0307","1","","","","","","","","","","","","","",""
"22","2026-05-24T12:56:13.635Z","run","s0305","44014","8","45422","1408","8","s0305","1","","","","","","","","","","","","","",""
"23","2026-05-24T12:56:15.053Z","run","s0302","45422","5","46975","1553","5","s0302","1","","","","","","","","","","","","","",""
"24","2026-05-24T12:56:16.604Z","run","s0301","46975","4","48659","1684","4","s0301","1","","","","","","","","","","","","","",""
"25","2026-05-24T12:56:18.289Z","run","s0308","48659","2","50134","1475","2","s0308","1","","","","","","","","","","","","","",""
"26","2026-05-24T12:56:19.756Z","run","s0308","50134","2","50770","636","2","s0308","1","","","","","","","","","","","","","",""
"27","2026-05-24T12:56:20.390Z","run","s0303","50770","6","52293","1523","6","s0303","1","","","","","","","","","","","","","",""
"28","2026-05-24T12:56:21.925Z","run","s0309","52293","3","53621","1328","3","s0309","1","","","","","","","","","","","","","",""
"29","2026-05-24T12:56:23.243Z","run","s0309","53621","3","54180","559","3","s0309","1","","","","","","","","","","","","","",""
"30","2026-05-24T12:56:23.810Z","run","s0309","54180","3","55105","925","3","s0309","1","","","","","","","","","","","","","",""
"31","2026-05-24T12:56:24.727Z","run","s0307","55105","1","56414","1309","1","s0307","1","","","","","","","","","","","","","",""
"32","2026-05-24T12:56:26.045Z","run","s0302","56414","5","57598","1184","5","s0302","1","","","","","","","","","","","","","",""
"33","2026-05-24T12:56:27.230Z","run","s0306","57598","9","58931","1333","9","s0306","1","","","","","","","","","","","","","",""
"34","2026-05-24T12:56:28.564Z","run","s0304","58931","7","61628","2697","7","s0304","1","","","","","","","","","","","","","",""
"35","2026-05-24T12:56:31.249Z","run","s0303","61628","6","63201","1573","6","s0303","1","","","","","","","","","","","","","",""
"36","2026-05-24T12:56:32.834Z","run","s0306","63201","9","64805","1604","9","s0306","1","","","","","","","","","","","","","",""
"37","2026-05-24T12:56:34.435Z","run","s0305","64805","8","66088","1283","8","s0305","1","","","","","","","","","","","","","",""
"38","2026-05-24T12:56:35.719Z","run","s0308","66088","2","67655","1567","2","s0308","1","","","","","","","","","","","","","",""
"","","","","","","","","","","","pavlovia","0","857","0.0-0.0","portrait-primary","3","iPhone","en-GB","60","7.1.2","3.90.0","351400","1","1"
